geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
110010098041001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,51,19,1150000
110010098041002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,36,10,1150000
110010098041003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,13,1,1150000
110010098041004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,176,59,1150000
110010098041005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,87,37,1150000
110010098041006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010098042000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,57,20,1150000
110010098042001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,36,9,1150000
110010098042002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,156,48,1150000
110010098042003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,91,34,1150000
110010098042004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,483,248,1150000
110010098042005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,85,36,1150000
110010098071004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,118,46,1150000
110010098071005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,100,43,1150000
110010098071006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,54,24,1150000
110010098071007,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,131,47,1150000
110010098071008,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,46,20,1150000
110010098071009,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,52,20,1150000
110010098071010,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,132,69,1150000
110010098071011,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,48,2,1150000
110010098071012,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,105,45,1150000
110010098071013,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,114,51,1150000
110010098072000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,359,170,1150000
110010098072001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,364,185,1150000
110010098072002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,663,386,1150000
110010098073000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,390,207,1150000
110010098073001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,32,8,1150000
110010098073002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,209,104,1150000
110010098073006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,237,97,1150000
110010098101000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1256,599,1150000
110010098101001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010098101002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,102,51,1150000
110010098101003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010098102000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,189,64,1150000
110010098102001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,116,88,1150000
110010098102002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,336,173,1150000
